Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
humour,"The quality of being amusing or comic, especially as expressed in literature or speech",mizah,His humour made everyone laugh.,"noun, verb","humours, humorous","comedy, wit","seriousness, gravity","sense of humour, dry humour",văn hóa,en
hundred,The number equivalent to the product of ten and ten; 100,yüz,There were a hundred people at the event.,"noun, adjective",hundreds,century,zero,"hundred years, hundred dollars",nghề nghiệp,en
hungry,Feeling or displaying the need for food,aç,She is feeling hungry.,"adjective, noun","hungrier, hungriest","starving, famished","full, satisfied","very hungry, feel hungry",thức ăn,en
hunt,Pursue and kill (a wild animal) for sport or food,avlamak,They went to hunt deer.,"verb, noun","hunts, hunting, hunted","chase, pursue",none,"hunt for, go hunting",thức ăn,en
hurry,Move or act with haste; rush,acele etmek,"Hurry, or we'll be late.","verb, noun","hurries, hurrying, hurried","rush, dash","dawdle, delay","in a hurry, hurry up",khác,en
hurt,Cause physical pain or injury to,incitmek,He hurt his leg while playing football.,"verb, noun","hurts, hurting, hurt","injure, wound","heal, soothe","hurt badly, hurt feelings",khác,en
husband,A married man considered in relation to his spouse,koca,Her husband is very supportive.,"noun, verb",husbands,"spouse, partner",wife,"loving husband, good husband",khác,en
I,Used by a speaker to refer to himself or herself,ben,I am going to the store.,pronoun,"me, myself",myself,you,"I am, I have",khác,en
ice,"Frozen water, a brittle, transparent crystalline solid",buz,The lake was covered with ice.,"noun, verb",ices,"frost, glaze","water, melt","ice cubes, ice cold",du lịch,en
ice cream,A soft frozen food made with sweetened and flavored milk fat,dondurma,She loves chocolate ice cream.,"noun, verb",ice creams,"gelato, sorbet",none,"ice cream cone, ice cream shop",thức ăn,en
idea,A thought or suggestion as to a possible course of action,fikir,She had a great idea for the project.,"noun, verb",ideas,"concept, notion",none,"good idea, great idea",luyện trí não,en
ideal,Satisfying one's conception of what is perfect; most suitable,ideal,He is the ideal candidate for the job.,"adjective, noun",ideally,"perfect, optimal","imperfect, unsuitable","ideal solution, ideal candidate",luyện trí não,en
identify,Establish or indicate who or what (someone or something) is,tanımlamak,Can you identify the suspect?,"verb, noun","identifies, identifying, identified","recognize, determine","misidentify, confuse","identify with, identify as",khác,en
identity,The fact of being who or what a person or thing is,kimlik,She struggled with her identity.,"noun, verb",identities,"name, identification",anonymity,"national identity, sense of identity",văn hóa,en
if,Introducing a conditional clause,eğer,"If it rains, we will stay indoors.",conjunction,ifs,"in case, provided that",none,"if only, if possible",khác,en
ignore,Refuse to take notice of or acknowledge; disregard intentionally,görmezden gelmek,He ignored the warning signs.,"verb, noun","ignores, ignoring, ignored","disregard, neglect","acknowledge, notice","ignore the fact, cannot ignore",khác,en
ill,Not in full health; sick,hasta,She is ill with the flu.,"adjective, noun",illnesses,"sick, unwell","healthy, well","seriously ill, terminally ill",khác,en
illegal,"Contrary to or forbidden by law, especially criminal law",yasadışı,It's illegal to park here.,"adjective, noun",illegally,"unlawful, illicit","legal, lawful","illegal activity, illegal drugs",văn hóa,en
illness,A disease or period of sickness affecting the body or mind,hastalık,The illness kept him bedridden for weeks.,"noun, verb",illnesses,"disease, sickness","health, wellness","serious illness, mental illness",luyện trí não,en
illustrate,"Explain or make (something) clear by using examples, charts, pictures, etc.",göstermek,The teacher illustrated the concept with a diagram.,"verb, noun","illustrates, illustrating, illustrated","explain, demonstrate","obscure, confuse","illustrate with, clearly illustrate",trường học,en
image,A representation of the external form of a person or thing in art,görüntü,The artist created a beautiful image.,"noun, verb",images,"picture, likeness",reality,"mental image, positive image",nghề nghiệp,en
imagine,Form a mental image or concept of,hayal etmek,Can you imagine a world without war?,"verb, noun","imagines, imagining, imagined","envision, conceive","disregard, ignore","imagine that, can you imagine",luyện trí não,en
immediate,Occurring or done at once; instant,acil,They need an immediate response.,"adjective, noun",immediates,"instant, prompt","delayed, late","immediate action, immediate response",khác,en
immediately,At once; instantly,hemen,The ambulance arrived immediately.,adverb,immediacy,"instantly, at once","later, eventually","respond immediately, immediately after",khác,en
impact,The action of one object coming forcibly into contact with another,etki,The impact of the crash was severe.,"noun, verb",impacts,"effect, influence",none,"positive impact, major impact",khác,en
implement,"Put (a decision, plan, agreement, etc.) into effect",uygulamak,They implemented the new policy.,"verb, noun","implements, implementing, implemented","execute, apply","neglect, ignore","implement changes, implement a policy",luyện trí não,en
implication,The conclusion that can be drawn from something although it is not explicitly stated,ima,The implication of his statement is clear.,"noun, verb",implications,"suggestion, inference",none,"far-reaching implication, serious implication",khác,en
importance,The state or fact of being of great significance or value,önem,She understands the importance of education.,"noun, verb",importances,"significance, value","insignificance, triviality","understand the importance, importance of",trường học,en
important,Of great significance or value,önemli,This is an important decision.,"adjective, noun",importantly,"significant, crucial","insignificant, trivial","important to, important for",văn hóa,en
importantly,Used to emphasize a significant point or matter,önemli bir şekilde,"Importantly, he also mentioned the risks.",adverb,importance,"significantly, notably",insignificantly,"more importantly, very importantly",khác,en
impossible,"Not able to occur, exist, or be done",imkansız,It is impossible to solve this problem.,"adjective, noun",impossibility,"unachievable, unattainable","possible, achievable","impossible task, impossible to",luyện trí não,en
impress,Make (someone) feel admiration and respect,etkilemek,She wants to impress her boss.,"verb, noun","impresses, impressing, impressed","influence, affect","disappoint, underwhelm","impress with, impress someone",nghề nghiệp,en
impressed,Feeling or showing admiration or respect for someone or something,etkilenmiş,He was impressed by her performance.,"adjective, verb","impresses, impressing, impressed","awed, amazed",unimpressed,"deeply impressed, quite impressed",nghề nghiệp,en
impression,"An idea, feeling, or opinion about something or someone, especially one formed without conscious thought or on the basis of little evidence",izlenim,She made a good impression at the interview.,"noun, verb",impressions,"perception, opinion",none,"first impression, lasting impression",luyện trí não,en
impressive,"Evoking admiration through size, quality, or skill: grand, imposing, or awesome",etkileyici,The view was impressive.,"adjective, noun",impressively,"awe-inspiring, grand","unimpressive, ordinary","most impressive, impressive feat",nghề nghiệp,en
improve,Make or become better,iyileştirmek,He wants to improve his skills.,"verb, noun","improves, improving, improved","enhance, better","worsen, degrade","improve performance, improve skills",luyện trí não,en
improvement,An example or instance of improving or being improved,iyileştirme,There has been a significant improvement in her work.,"noun, verb",improvements,"advancement, development","deterioration, decline","make an improvement, show improvement",nghề nghiệp,en
in,Expressing the situation of something that is or appears to be enclosed or surrounded by something else,içinde,The keys are in the drawer.,"preposition, adverb",ins,"inside, within","out, outside","in the room, in the box",luyện trí não,en
inability,"The lack of ability, means, or power to do something",yetersizlik,His inability to walk was due to an injury.,"noun, adjective",inabilities,"incapacity, incompetence","ability, competence","inability to, due to inability",luyện trí não,en
inch,A unit of linear measure equal to one twelfth of a foot (2.54 cm),inç,The screen measures 15 inches.,"noun, verb",inches,"measure, unit","foot, yard","inch by inch, every inch",khác,en
incident,An event or occurrence,olay,The incident was reported to the police.,"noun, verb",incidents,"event, occurrence",none,"report an incident, incident report",nghề nghiệp,en
include,Comprise or contain as part of a whole,dahil etmek,The price includes tax.,"verb, noun","includes, including, included","contain, encompass","exclude, omit","include in, include all",nghề nghiệp,en
including,Containing (someone or something) as part of the whole being considered,dahil,We are open every day including weekends.,preposition,including,"comprising, counting","excluding, excepting","including everything, including everyone",khác,en
income,"Money received, especially on a regular basis, for work or through investments",gelir,She has a steady income.,"noun, verb",incomes,"earnings, revenue","expense, outgoings","monthly income, steady income",nghề nghiệp,en
increase,"Become or make greater in size, amount, intensity, or degree",artırmak,They plan to increase production.,"verb, noun","increases, increasing, increased","grow, expand","decrease, reduce","increase by, increase in",nghề nghiệp,en
increasingly,To an increasing extent; more and more,giderek,He is becoming increasingly worried.,adverb,increasingly,"progressively, more","less, decreasingly","increasingly common, increasingly aware",khác,en
indeed,Used to emphasize a statement or response confirming something already suggested,gerçekten,"Indeed, it was a remarkable achievement.","adverb, interjection",none,"truly, certainly","doubtfully, uncertainly","yes, indeed, indeed it is",luyện trí não,en
independence,The fact or state of being independent,bağımsızlık,The country gained independence in 1960.,"noun, verb",independences,"autonomy, self-sufficiency","dependence, subordination","gain independence, national independence",du lịch,en
independent,Free from outside control; not depending on another's authority,bağımsız,She is an independent woman.,"adjective, noun",independents,"self-reliant, autonomous","dependent, subordinate","independent from, independent of",khác,en
index,"An alphabetical list of names, subjects, etc., with references to the places where they occur, typically found at the end of a book",dizin,Look up the term in the index.,"noun, verb",indexes,"listing, directory",none,"alphabetical index, name index",trường học,en
indicate,Point out; show,belirtmek,Please indicate your preferences on the form.,"verb, noun","indicates, indicating, indicated","show, point out","hide, conceal","indicate clearly, indicate a preference",khác,en
indication,A sign or piece of information that indicates something,belirti,There is no indication of a break-in.,"noun, verb",indications,"sign, signal",none,"strong indication, indication of",khác,en
indirect,Not directly caused by or resulting from something,dolaylı,They took an indirect route to avoid traffic.,"adjective, noun",indirectly,"secondary, incidental","direct, straightforward","indirect effect, indirect route",khác,en
indirectly,In a way that is not directly caused by or connected with something,dolaylı olarak,She was indirectly involved in the decision.,adverb,indirectness,"obliquely, subtly","directly, straight","indirectly related, indirectly involved",luyện trí não,en
individual,"A single human being as distinct from a group, class, or family",birey,Every individual has rights.,"noun, adjective",individuals,"person, being","group, collective","individual rights, unique individual",văn hóa,en
indoors,Inside a building,içeride,We stayed indoors during the storm.,"adverb, noun",indoor,"inside, within","outdoors, outside","stay indoors, remain indoors",khác,en
industrial,Relating to or characterized by industry,endüstriyel,The city is known for its industrial heritage.,"adjective, noun",industrially,"manufacturing, factory-based","agricultural, non-industrial","industrial area, industrial revolution",nghề nghiệp,en
industry,Economic activity concerned with the processing of raw materials and manufacture of goods in factories,sanayi,The steel industry is vital to the economy.,"noun, adjective",industries,"manufacturing, production",none,"service industry, tourism industry",nghề nghiệp,en
inevitable,Certain to happen; unavoidable,kaçınılmaz,Death is inevitable.,"adjective, noun",inevitability,"unavoidable, certain","avoidable, preventable","inevitable consequence, inevitable result",văn hóa,en
inevitably,As is certain to happen; unavoidably,kaçınılmaz olarak,"Inevitably, some mistakes were made.",adverb,inevitabilities,"certainly, unavoidably","preventably, avoidably","inevitably lead to, inevitably happen",khác,en
infect,"Affect (a person, organism, etc.) with a disease-causing organism",enfekte etmek,The virus can infect humans and animals.,"verb, noun","infects, infecting, infected","contaminate, transmit","heal, cure","infect with, can infect",khác,en
infection,The process of infecting or the state of being infected,enfeksiyon,He has a throat infection.,"noun, verb",infections,"contagion, contamination","health, wellness","bacterial infection, serious infection",khác,en
infectious,Likely to spread or influence others in a rapid manner,bulaşıcı,Flu is highly infectious.,"adjective, noun",infectiously,"contagious, communicable","non-contagious, non-infectious","highly infectious, infectious disease",khác,en
influence,"The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself",etkilemek,His influence made a big difference.,"noun, verb","influences, influencing, influenced","effect, impact",none,"strong influence, influence on",văn hóa,en
inform,Give (someone) facts or information; tell,bilgilendirmek,Please inform me of any changes.,"verb, noun","informs, informing, informed","notify, tell","misinform, mislead","inform the public, inform of",khác,en
informal,"Having a relaxed, friendly, or unofficial style, manner, or nature",resmi olmayan,They had an informal meeting.,"adjective, noun",informally,"casual, relaxed","formal, official","informal meeting, informal dress",nghề nghiệp,en
information,Facts provided or learned about something or someone,bilgi,We need more information about the event.,"noun, verb",informations,"data, knowledge","misinformation, ignorance","gather information, provide information",trường học,en
ingredient,Any of the foods or substances that are combined to make a particular dish,malzeme,The main ingredient is flour.,"noun, verb",ingredients,"component, element",none,"key ingredient, main ingredient",thức ăn,en
initial,Existing or occurring at the beginning,ilk,His initial reaction was surprise.,"adjective, noun",initials,"first, primary","final, last","initial impression, initial reaction",khác,en
initially,At first,ilk olarak,"Initially, it was difficult to understand.",adverb,initially,"at first, originally","finally, ultimately","initially thought, initially planned",trường học,en
initiate,Cause (a process or action) to begin,başlatmak,They decided to initiate the project.,"verb, noun","initiates, initiating, initiated","commence, launch","terminate, end","initiate a process, initiate contact",nghề nghiệp,en
initiative,The ability to assess and initiate things independently,girişim,She took the initiative to start the meeting.,"noun, adjective",initiatives,"enterprise, drive","indifference, passivity","take the initiative, business initiative",nghề nghiệp,en
injure,Do physical harm or damage to (someone),yaralamak,He injured his leg while playing soccer.,"verb, noun","injures, injuring, injured","harm, hurt","heal, mend","injure seriously, injure oneself",khác,en
injured,"Harmed, damaged, or impaired",yaralı,The injured person was taken to the hospital.,"adjective, verb","injures, injuring, injured","wounded, hurt","unharmed, unhurt","seriously injured, injured person",khác,en
injury,An instance of being injured,yaralanma,He suffered a serious injury.,"noun, verb",injuries,"wound, harm","health, wellness","serious injury, minor injury",khác,en
ink,"A colored fluid used for writing, drawing, printing, or duplicating",mürekkep,The pen ran out of ink.,"noun, verb",inks,"dye, pigment",none,"black ink, ink pen",trường học,en
inner,Situated inside or further in; internal,iç,She felt a sense of inner peace.,"adjective, noun",inners,"internal, inside","outer, external","inner peace, inner thoughts",khác,en
innocent,Not guilty of a crime or offense,masum,He was found innocent of the charges.,"adjective, noun",innocents,"blameless, guiltless","guilty, culpable","innocent child, innocent of",nghề nghiệp,en
inquiry,An act of asking for information,soruşturma,They launched an inquiry into the matter.,"noun, verb",inquiries,"investigation, probe",none,"conduct an inquiry, police inquiry",khác,en
insect,A small arthropod animal that has six legs and generally one or two pairs of wings,böcek,The insect buzzed around the room.,"noun, verb",insects,"bug, critter",none,"insect bite, flying insect",văn hóa,en
inside,Situated or occurring within; interior,içinde,The keys are inside the drawer.,"adjective, noun",insides,"within, interior","outside, exterior","inside the house, inside out",khác,en
insist,"Demand something forcefully, not accepting refusal",ısrar etmek,He insisted on paying for the meal.,"verb, noun","insists, insisting, insisted","demand, persist","give up, accept","insist on, insist that",thức ăn,en
insist on,To demand or persist in some course of action,ısrar etmek,She insists on doing everything herself.,phrasal verb,insisting,"persist in, demand",none,"insist on doing, insist on something",trường học,en
install,Place or fix (equipment or machinery) in position ready for use,kurmak,They will install the new software tomorrow.,"verb, noun","installs, installing, installed","set up, establish","remove, uninstall","install software, install equipment",trường học,en
instance,An example or single occurrence of something,örnek,"For instance, she said she would be late.","noun, verb",instances,"example, occurrence",none,"for instance, such instances",trường học,en
instead,As an alternative or substitute,yerine,"He didn't go to the party; instead, he stayed home.","adverb, preposition",none,"alternatively, rather","besides, as well as","instead of, instead choose",khác,en
instead of,In place of,yerine,Use honey instead of sugar.,preposition,none,"in place of, as a substitute for",along with,"instead of, instead of going",thức ăn,en
institute,"A society or organization having a particular object or common factor, especially a scientific, educational, or social one",enstitü,They work at a research institute.,"noun, verb",institutes,"academy, center",none,"research institute, financial institute",trường học,en
institution,"An organization founded for a religious, educational, professional, or social purpose",kurum,The institution provides care for the elderly.,"noun, verb",institutions,"organization, foundation",none,"educational institution, social institution",nghề nghiệp,en
instruct,"Direct or command someone to do something, especially as an official order",talimat vermek,The teacher instructed the students to line up.,"verb, noun","instructs, instructing, instructed","direct, command",none,"instruct on, instruct how",trường học,en
instruction,A direction or order,talimat,Follow the instructions carefully.,"noun, verb",instructions,"order, direction","question, query","follow the instructions, clear instructions",du lịch,en
instrument,"A tool or implement, especially one for precision work",enstrüman,He played a musical instrument.,"noun, verb",instruments,"tool, device",none,"musical instrument, precision instrument",nghề nghiệp,en
insult,Speak to or treat with disrespect or scornful abuse,hakaret etmek,He insulted her in front of everyone.,"verb, noun","insults, insulting, insulted","offend, affront","compliment, praise","insult someone, feel insulted",khác,en
insulting,Disrespectful or scornfully abusive,hakaret,His comments were insulting.,"adjective, verb","insults, insulting, insulted","offensive, rude",complimentary,"insulting remarks, insulting behavior",khác,en
insurance,"A practice or arrangement by which a company or government agency provides a guarantee of compensation for specified loss, damage, illness, or death in return for payment of a premium",sigorta,She has health insurance.,"noun, verb",insurances,"coverage, protection",none,"health insurance, insurance policy",nghề nghiệp,en
intelligence,The ability to acquire and apply knowledge and skills,zeka,She has a high level of intelligence.,"noun, verb",intelligences,"brains, intellect","stupidity, ignorance","high intelligence, emotional intelligence",luyện trí não,en
intelligent,"Having or showing intelligence, especially of a high level",zeki,He is very intelligent.,"adjective, noun",intelligently,"smart, bright","unintelligent, stupid","intelligent person, intelligent answer",luyện trí não,en
intend,Have (a course of action) as one's purpose or objective; plan,niyet etmek,They intend to start a business.,"verb, noun","intends, intending, intended","plan, aim","neglect, disregard","intend to, intend for",nghề nghiệp,en
intended,Planned or meant,planlanmış,The intended outcome was not achieved.,"adjective, verb","intends, intending, intended","planned, meant","unintended, accidental","intended for, intended as",luyện trí não,en
intention,A thing intended; an aim or plan,niyet,Her intention is to become a doctor.,"noun, verb",intentions,"aim, objective",none,"good intention, clear intention",nghề nghiệp,en
interest,The feeling of wanting to know or learn about something or someone,ilgi,She has a keen interest in art.,"noun, verb","interests, interesting, interested","curiosity, attention","boredom, indifference","show interest, have an interest",nghề nghiệp,en
interested,Showing curiosity or concern about something or someone; having a feeling of interest,ilgili,He is very interested in music.,"adjective, verb","interests, interesting, interested","curious, concerned","disinterested, uninterested","interested in, very interested",nghề nghiệp,en
interesting,Arousing curiosity or interest; holding or catching the attention,ilginç,The book was very interesting.,"adjective, noun","interests, interesting, interested","fascinating, captivating","boring, dull","find interesting, interesting topic",trường học,en
interior,Situated within or inside; relating to the inside; inner,iç,The interior of the house is beautiful.,"noun, adjective",interiors,"inside, inner","exterior, outside","interior design, interior of",khác,en
internal,Of or situated on the inside,içsel,She has an internal injury.,"adjective, noun",internally,"inside, inner","external, outer","internal organs, internal use",khác,en
international,"Existing, occurring, or carried on between two or more nations",uluslararası,They are attending an international conference.,"adjective, noun",internationally,"global, worldwide","domestic, national","international trade, international relations",du lịch,en
Internet,A global computer network providing a variety of information and communication facilities,internet,I found the information on the Internet.,"noun, proper noun",internets,"web, net",none,"access the Internet, browse the Internet",khác,en
interpret,"Explain the meaning of (information, words, or actions)",yorumlamak,He will interpret the results for us.,"verb, noun","interprets, interpreting, interpreted","explain, clarify","misinterpret, misunderstand","interpret data, interpret correctly",luyện trí não,en
interpretation,The action of explaining the meaning of something,yorum,Her interpretation of the text was unique.,"noun, verb",interpretations,"explanation, understanding",misinterpretation,"accurate interpretation, unique interpretation",luyện trí não,en
interrupt,Stop the continuous progress of (an activity or process),kesmek,Please do not interrupt the speaker.,"verb, noun","interrupts, interrupting, interrupted","disrupt, halt","continue, proceed","interrupt the flow, do not interrupt",luyện trí não,en
interview,"A meeting of people face to face, especially for consultation",görüşme,She had a job interview yesterday.,"noun, verb","interviews, interviewing, interviewed","meeting, discussion",none,"job interview, interview process",nghề nghiệp,en
into,Expressing movement or action with the result that someone or something becomes enclosed or surrounded by something else,içine,He went into the room.,preposition,intos,"within, inside",outside,"into the box, into the room",luyện trí não,en
introduce,"Bring (something, especially a product, measure, or concept) into use or operation for the first time",tanıtmak,They will introduce a new product next month.,"verb, noun","introduces, introducing, introduced","present, launch","remove, withdraw","introduce a product, introduce oneself",nghề nghiệp,en
introduction,The action of introducing something,tanıtım,The introduction of the new policy was well received.,"noun, verb",introductions,"presentation, launch","removal, withdrawal","brief introduction, detailed introduction",khác,en
invent,Create or design (something that has not existed before); be the originator of,icat etmek,He invented a new type of engine.,"verb, noun","invents, inventing, invented","create, design","copy, imitate","invent something new, invent a device",luyện trí não,en
invention,"The action of inventing something, typically a process or device",icat,The invention of the telephone changed the world.,"noun, verb",inventions,"creation, discovery","imitation, copy","groundbreaking invention, recent invention",luyện trí não,en
invest,"Expend money with the expectation of achieving a profit or material result by putting it into financial schemes, shares, or property, or by using it to develop a commercial venture",yatırım yapmak,She decided to invest in real estate.,"verb, noun","invests, investing, invested","allocate, fund","divest, withdraw","invest money, invest time",nghề nghiệp,en
investigate,"Carry out a systematic or formal inquiry to discover and examine the facts of (an incident, allegation, etc.) so as to establish the truth",soruşturmak,The police will investigate the case.,"verb, noun","investigates, investigating, investigated","examine, probe","ignore, neglect","investigate thoroughly, investigate a case",nghề nghiệp,en
investment,The action or process of investing money for profit,yatırım,His investment in the company paid off.,"noun, verb",investments,"funding, finance","divestment, withdrawal","financial investment, secure investment",nghề nghiệp,en
invite,"Make a polite, formal, or friendly request to (someone) to go somewhere or to do something",davet etmek,They invited us to their wedding.,"verb, noun","invites, inviting, invited","ask, request","exclude, reject","invite someone, invite to",văn hóa,en
involve,Include (something) as a necessary part or result,içermek,The project will involve several steps.,"verb, noun","involves, involving, involved","include, engage","exclude, omit","involve in, involve with",nghề nghiệp,en
involved,Difficult to comprehend; complicated,ilgili,He is involved in many activities.,"adjective, verb","involves, involving, involved","complicated, engaged","uncomplicated, simple","deeply involved, directly involved",luyện trí não,en
involvement,The fact or condition of being involved with or participating in something,katılım,Her involvement in the project was crucial.,"noun, verb",involvements,"participation, engagement","exclusion, disengagement","active involvement, direct involvement",nghề nghiệp,en
iron,"A strong, hard magnetic silvery-gray metal, the chemical element of atomic number 26",demir,The gate is made of iron.,"noun, verb",irons,"metal, steel",none,"cast iron, iron gate",khác,en
irritate,Make (someone) annoyed or a little angry,kızdırmak,His comments irritated her.,"verb, noun","irritates, irritating, irritated","annoy, provoke","soothe, calm","irritate easily, irritate someone",khác,en
irritated,Showing or feeling slight anger; annoyed,kızgın,She was irritated by the noise.,"adjective, verb","irritates, irritating, irritated","annoyed, vexed","pleased, content","visibly irritated, slightly irritated",nghề nghiệp,en
island,A piece of land surrounded by water,ada,They visited a tropical island.,"noun, verb",islands,"key, islet",mainland,"tropical island, desert island",du lịch,en
issue,An important topic or problem for debate or discussion,konu,They discussed the issue at length.,"noun, verb",issues,"problem, matter","solution, resolution","address an issue, current issue",luyện trí não,en
it,Used to refer to a thing previously mentioned or easily identified,o,It is raining outside.,pronoun,its,"this, that",none,"it is, it has",khác,en
item,"An individual article or unit, especially one that is part of a list, collection, or set",madde,Each item on the list must be checked.,"noun, verb",items,"article, object","whole, entirety","check an item, list item",văn hóa,en
itself,Used to emphasize a particular thing or animal mentioned,kendisi,The cat cleans itself.,pronoun,itself,"self, same",none,"by itself, for itself",khác,en
jacket,A short coat,ceket,He wore a leather jacket.,"noun, verb",jackets,"coat, blazer",none,"leather jacket, denim jacket",khác,en
jam,A sweet spread or preserve made from fruit and sugar boiled to a thick consistency,reçel,She spread jam on her toast.,"noun, verb",jams,"preserve, spread",none,"spread jam, fruit jam",thức ăn,en
January,"The first month of the year, in the northern hemisphere usually considered the second month of winter",Ocak,January is a cold month.,"noun, proper noun",Januaries,none,none,"January weather, January 1st",thức ăn,en
jealous,Feeling or showing envy of someone or their achievements and advantages,kıskanç,He felt jealous of his friend's success.,"adjective, verb",jealousy,"envious, covetous","content, satisfied","feel jealous, jealous of",luyện trí não,en
jeans,Hard-wearing trousers made of denim or other cotton fabric,kot pantolon,She bought a new pair of jeans.,"noun, verb",jeans,"denims, pants",none,"pair of jeans, blue jeans",khác,en
jelly,"A sweet, clear, semisolid spread or preserve made from fruit juice and sugar boiled to a thick consistency",jöle,She likes strawberry jelly.,"noun, verb",jellies,"preserve, conserve",none,"strawberry jelly, fruit jelly",thức ăn,en
jewel,"A precious stone, typically a single crystal or a piece of a hard lustrous or translucent mineral cut into a regular shape",mücevher,The crown was adorned with jewels.,"noun, verb",jewels,"gem, gemstone",none,"precious jewel, crown jewel",khác,en
jewelry,"Personal ornaments, such as necklaces, rings, or bracelets, that are typically made from or contain jewels and precious metal",takı,She wore elegant jewelry.,"noun, verb",jewelries,"ornament, bijouterie",none,"gold jewelry, elegant jewelry",khác,en
job,A paid position of regular employment,iş,He has a new job at the company.,"noun, verb",jobs,"occupation, position","unemployment, none","new job, part-time job",nghề nghiệp,en
join,Link or connect (something) together,katılmak,They decided to join the club.,"verb, noun","joins, joining, joined","unite, connect","separate, divide","join a club, join the team",khác,en
joint,A point at which parts of an artificial structure are joined,eklem,He has pain in his knee joint.,"noun, adjective",joints,"junction, connection",none,"knee joint, elbow joint",văn hóa,en
jointly,With another person or people; together,ortaklaşa,They worked jointly on the project.,adverb,jointly,"together, mutually","individually, singly","jointly owned, jointly responsible",nghề nghiệp,en
joke,"A thing that someone says to cause amusement or laughter, especially a story with a funny punchline",şaka,He told a funny joke.,"noun, verb","jokes, joking, joked","funny story, quip","serious remark, statement","tell a joke, play a joke",văn hóa,en
journalist,"A person who writes for newspapers, magazines, or news websites or prepares news to be broadcast",gazeteci,She is a well-known journalist.,"noun, verb",journalists,"reporter, correspondent",none,"investigative journalist, freelance journalist",nghề nghiệp,en
journey,An act of traveling from one place to another,yolculuk,Their journey took several days.,"noun, verb",journeys,"trip, travel",none,"long journey, enjoy the journey",du lịch,en
joy,A feeling of great pleasure and happiness,sevinç,She was filled with joy.,"noun, verb",joys,"happiness, delight","sorrow, sadness","great joy, joy of",nghề nghiệp,en
judge,A public official appointed to decide cases in a court of law,yargıç,The judge will give his verdict.,"noun, verb","judges, judging, judged","magistrate, adjudicator",none,"court judge, supreme judge",văn hóa,en
judgement,The ability to make considered decisions or come to sensible conclusions,yargı,Use your judgement to make the decision.,"noun, verb",judgements,"decision, verdict","indecision, doubt","good judgement, sound judgement",luyện trí não,en
juice,The liquid obtained from or present in fruit or vegetables,meyve suyu,She drank a glass of orange juice.,"noun, verb",juices,"nectar, extract",none,"fruit juice, fresh juice",thức ăn,en
July,"The seventh month of the year, in the northern hemisphere usually considered the second month of summer",Temmuz,We have a holiday in July.,"noun, proper noun",Julys,none,none,"in July, July 4th",du lịch,en
jump,Push oneself off a surface and into the air by using the muscles in one's legs and feet,zıplamak,The cat can jump high.,"verb, noun","jumps, jumping, jumped","leap, spring","fall, drop","jump up, jump over",nghề nghiệp,en
June,"The sixth month of the year, in the northern hemisphere usually considered the first month of summer",Haziran,June is my favorite month.,"noun, proper noun",Junes,none,none,"in June, June 1st",khác,en
junior,"Of, for, or denoting young or younger people",genç,He is a junior member of the team.,"adjective, noun",juniors,"younger, novice","senior, older","junior team, junior member",thức ăn,en
jury,A body of people (typically twelve in number) sworn to give a verdict in a legal case on the basis of evidence submitted to them in court,jüri,The jury reached a unanimous verdict.,"noun, verb",juries,"panel, tribunal",none,"serve on a jury, jury duty",khác,en
just,Based on or behaving according to what is morally right and fair,sadece,It was a just decision.,"adjective, adverb",justly,"fair, unbiased","unfair, biased","just decision, just cause",văn hóa,en
justice,Just behavior or treatment,adalet,They are fighting for justice.,"noun, verb",justices,"fairness, law","injustice, unfairness","seek justice, social justice",văn hóa,en
justify,Show or prove to be right or reasonable,haklı çıkarmak,She tried to justify her actions.,"verb, noun","justifies, justifying, justified","defend, explain","condemn, blame","justify actions, justify the means",văn hóa,en
keen,Having or showing eagerness or enthusiasm,hevesli,She is keen to learn new things.,"adjective, verb","keener, keenest","eager, enthusiastic","uninterested, apathetic","keen interest, keen on",trường học,en
keep,Have or retain possession of,tutmak,Please keep this document safe.,"verb, noun","keeps, keeping, kept","hold, retain","release, let go","keep safe, keep in mind",khác,en
key,A small piece of shaped metal with incisions cut to fit the wards of a particular lock and operate it,anahtar,He lost his keys.,"noun, adjective",keys,"lock, opener","lock, hinder","house key, key to",khác,en
keyboard,A panel of keys that operate a computer or typewriter,klavye,She typed the letter on the keyboard.,"noun, verb",keyboards,"typewriter keyboard, computer keyboard",none,"keyboard keys, computer keyboard",khác,en
kick,Strike or propel forcibly with the foot,tekme,He kicked the ball into the goal.,"verb, noun","kicks, kicking, kicked","boot, strike","caress, touch","kick a ball, kick out",luyện trí não,en
kid,A child or young person,çocuk,The kids are playing outside.,"noun, verb",kids,"child, youngster","adult, elder","young kid, kids are",khác,en
kill,"Cause the death of (a person, animal, or other living thing)",öldürmek,He was killed in an accident.,"verb, noun","kills, killing, killed","murder, slay","save, preserve","kill time, kill the mood",văn hóa,en
kind,A group of people or things having similar characteristics,tür,There are many kinds of flowers.,"noun, adjective",kinds,"type, category",none,"different kinds, same kind",khác,en
kindly,In a kind manner,kibarca,She kindly offered to help.,"adverb, adjective","kindlier, kindliest","nicely, graciously","unkindly, rudely","kindly offer, kindly ask",khác,en
